,NWP (£m) ,NWP (£m) ,NWP (£m) ,NWP (£m) ,NWP (£m) ,SCR (£m),SCR (£m),SCR (£m),SCR (£m),SCR (£m),EoF for SCR (£m),EoF for SCR (£m),EoF for SCR (£m),EoF for SCR (£m),EoF for SCR (£m),SCR coverage ratio,SCR coverage ratio,SCR coverage ratio,SCR coverage ratio,SCR coverage ratio,GWP (£m),GWP (£m),GWP (£m),GWP (£m),GWP (£m),Total assets (£m),Total assets (£m),Total assets (£m),Total assets (£m),Total assets (£m),Total liabilities (£m),Total liabilities (£m),Total liabilities (£m),Total liabilities (£m),Total liabilities (£m),Excess of assets over liabilities (£m) [= equity],Excess of assets over liabilities (£m) [= equity],Excess of assets over liabilities (£m) [= equity],Excess of assets over liabilities (£m) [= equity],Excess of assets over liabilities (£m) [= equity]
,2016YE,2017YE,2018YE,2019YE,2020YE,2016YE,2017YE,2018YE,2019YE,2020YE,2016YE,2017YE,2018YE,2019YE,2020YE,2016YE,2017YE,2018YE,2019YE,2020YE,2016YE,2017YE,2018YE,2019YE,2020YE,2016YE,2017YE,2018YE,2019YE,2020YE,2016YE,2017YE,2018YE,2019YE,2020YE,2016YE,2017YE,2018YE,2019YE,2020YE
Firm 1,-13779.81563,0,0,0,0,1085.360139,0.00000000963584,0,0,0,2230.076702,4.81792,0,0,0,1.979864703,481792000,0,0,0,1409.484796,0,0,0,0,71727.59307,4.81792,0,0,0,69696.55713,0,0,0,0,2031.035937,4.81792,0,0,0
Firm 2,28.17805851,26.86504948,25.06443777,23.22644464,21.71855802,10.19031382,10.11357223,9.495234758,8.146470726,7.324577222,33.39118027,40.6372809,50.62161376,57.60232572,29.65239953,3.157430441,3.871770805,5.137121758,6.813340561,3.900918358,28.17805851,26.86504948,25.06443777,23.22644464,21.71855802,41.91749553,50.22297519,59.21762514,64.53522668,38.17868495,8.526315264,9.585694299,8.596011379,6.932900957,8.526285425,33.39118027,40.63728089,50.62161376,57.60232572,29.65239953
Firm 3,0,75.60968072,70.57873177,78.43278168,85.73582975,322.9551149,363.7823266,362.2908591,394.2959817,400.69954,583.6506039,558.9168563,566.0732533,598.338699,540.0657468,1.741407266,1.480454933,1.505583472,1.462225393,1.298725505,0,85.81020473,79.54961699,91.81411055,96.41662553,1509.716271,1575.318545,1540.807153,1630.835732,1754.979053,926.0656674,1016.401689,974.7338995,1032.497033,1214.913306,583.6506039,558.9168563,566.0732533,598.338699,540.0657468
Firm 4,22344.19992,23963.91071,25760.39016,25512.74884,24996.02104,16573.6448,16332.7488,17103.616,17219.24608,19600.26214,23862.76298,23493.65882,25284.40379,26861.46036,28772.49263,1.387369941,1.386056568,1.424473453,1.503159505,1.414507282,29424.57469,32935.40142,35867.63798,36135.46311,34922.70255,67404.34913,73034.62926,81184.82927,84801.52398,94065.08103,50485.0106,56618.70622,62935.24444,64005.54797,71237.711,16919.33853,16415.92304,18249.58483,20795.97601,22827.37003
Firm 5,68.20099348,51.66313155,44.01083321,42.00855554,81.27365274,52.82439617,38.05376837,34.69681459,57.23178758,66.2308119,148.4335176,145.3711949,152.2052339,142.4791471,130.559789,2.707615667,3.681037739,4.226973854,2.398852671,1.899498438,70.15610417,52.39847567,44.455608,42.32828961,83.66835263,341.8593256,311.5089771,271.1161013,249.7489467,235.4819017,193.425808,161.4177088,118.9108674,107.2697996,104.9221127,148.4335176,150.0912683,152.2052339,142.4791471,130.5597898
Firm 6,1826.798004,3040.633852,1634.218908,3082.590166,3041.876078,2717.768106,2791.422212,2804.596443,3066.367918,3281.203179,3480.995118,3551.073429,3932.780217,4357.0508,4762.378657,1.234185945,1.225811532,1.351197639,1.369171786,1.398557671,1918.425581,3434.087947,2580.341492,4480.124182,4452.508624,39780.70117,53521.74321,56344.22467,61297.25318,64743.03024,36470.8489,50045.97833,52281.80203,56757.53031,59815.95346,3309.852274,3475.764879,4062.422644,4539.722873,4927.076783
Firm 7,5855.172823,11688.57041,9414.976495,10975.18966,8359.905292,3342.985564,4042.827472,4313.755092,4106.815583,4497.938625,5120.182956,6326.04764,6136.12496,6863.26409,6823.04408,1.475844355,1.507776013,1.370655428,1.610330761,1.461686487,6567.617425,9542.897521,9662.750735,11259.28628,8652.947413,81043.28827,88006.33915,87435.58485,101517.063,110371.6641,74218.64156,79630.84761,79522.28132,93046.6022,102675.2683,6824.646704,8375.491537,7913.303531,8470.460819,7696.395811
Firm 8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Firm 9,17.24225192,15.74588876,19.10872327,15.48089104,9.5139671,11.35364603,13.13676659,13.41672512,12.96593231,11.00287271,26.92231925,27.01430325,29.47720989,28.19867613,27.02410834,2.284897381,1.981503606,2.117041793,2.095629723,2.366654518,17.90137289,16.39298828,19.85150183,16.00693943,9.824898255,49.72888264,55.4884008,60.17954625,57.12805316,46.46743007,22.80656339,28.47409756,30.70233636,28.92937703,19.44332266,26.92231925,27.01430325,29.47720989,28.19867613,27.02410742
